date,committee,question,project,responsible,attendees,theme
2025-06-04,Biudžeto ir finansų komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SysasD.  Mudėnienė,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,Lietuvos banko įstatymo Nr. I-678 42 straipsnio ir 3 priedo pakeitimo įstatymo projektas,I-678,A.  ButkevičiusR.  KuodisM.  Pečiulis,,Public finance
2025-06-04,Biudžeto ir finansų komitetas,"Alternatyviųjų kolektyvinio investavimo subjektų valdytojų įstatymo Nr. XII-1467 3, 4, 13, 22, 23, 28, 56, 61 straipsnių ir priedo pakeitimo įstatymo projektas",XII-1467,A.  ButkevičiusR.  KuodisM.  Pečiulis,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Bankų įstatymo Nr. IX-2085 2, 60, 63, 69, 73 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Centrinių kredito unijų įstatymo Nr. VIII-1682 2, 19, 21, 41, 44, 51, 55 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Draudimo įstatymo Nr. IX-1737 10, 22, 205, 212 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Finansinių priemonių rinkų įstatymo Nr. X-1024 3, 15-4, 16, 18, 21, 49, 62, 70, 93, 112 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Finansinio tvarumo įstatymo Nr. XI-393 2, 13, 99 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Informuotiesiems investuotojams skirtų kolektyvinio investavimo subjektų įstatymo Nr. XII-376 2, 13 ir 51 straipsnių pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Kolektyvinio investavimo subjektų įstatymo Nr. IX-1709 2, 11, 16, 35, 171 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Mokėjimų įstatymo Nr. VIII-1370 2, 3, 56, 57, 76, 80 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Mokėjimo įstaigų įstatymo Nr. XI-549 2, 5, 6, 19, 22, 34 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Profesinių pensijų kaupimo įstatymo Nr. X-745 2, 7, 15, 63 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Elektroninių pinigų ir elektroninių pinigų įstaigų įstatymo Nr. XI-1868 2, 13, 26, 28, 40 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Papildomo savanoriško pensijų kaupimo įstatymo Nr. VIII-1212 2, 6, 57, 58-2 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Kredito unijų įstatymo Nr. I-796 2, 3, 61 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,(svarstymas),"Kriptoturto rinkų įstatymo Nr. XIV-2879 3, 10, 12, 13, 14, 15 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-06-04,Biudžeto ir finansų komitetas,Valstybės gynybos fondo įstatymo Nr. XIV-2775 4 straipsnio pakeitimo įstatymo projektas,XIV-2775,R.  BudbergytėG.  SkaistėA.  Čekanavičienė,,State security and defense
2025-06-04,Biudžeto ir finansų komitetas,Seimo nutarimo „Dėl Šiaurės investicijų banko Kontrolės komiteto nario paskyrimo“ projektas XVP-484,,A.  SysasG.  SkaistėA.  Narščiuvienė,,Public finance
2025-06-04,Biudžeto ir finansų komitetas,Valstybės gynybos fondo įstatymo Nr. XIV-2775 2 ir 4 straipsnių pakeitimo įstatymo projektas,XIV-2775,A.  SysasM.  LingėA.  Narščiuvienė,,State security and defense
2025-06-04,Biudžeto ir finansų komitetas,Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projektas (nauja redakcija),X-233,A.  SysasM.  LingėE.  Putrimas,,Public finance
2025-06-04,Biudžeto ir finansų komitetas,Kiti klausimai,,A.  SysasD.  Mudėnienė,,"State governance, regional policy and public administration"
2025-05-30,Biudžeto ir finansų komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SysasD.  Mudėnienė,,"State governance, regional policy and public administration"
2025-05-30,Biudžeto ir finansų komitetas,Mokesčių administravimo įstatymo Nr. IX-2112 13 straipsnio pakeitimo įstatymo projektas,IX-2112,A.  SysasM.  LingėA.  Narščiuvienė,,Public finance
2025-05-30,Biudžeto ir finansų komitetas,Saugumo įnašo įstatymo projektas,XVP-433,A.  SysasM.  LingėA.  Narščiuvienė,,Public security
2025-05-30,Biudžeto ir finansų komitetas,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 6, 13-1, 16, 17, 18, 18-2, 19, 20, 21, 23, 27, 34 ir 35 straipsnių pakeitimo įstatymo projektas",IX-1007,A.  SysasR.  KuodisE.  Putrimas,,Public finance
2025-05-30,Biudžeto ir finansų komitetas,"Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 18(2), 20 ir 36 straipsnių pakeitimo įstatymo projekto pristatymas",IX-1007,D.  BradauskasM.  LingėD.  Mudėnienė,,Public finance
2025-05-30,Biudžeto ir finansų komitetas,Kiti klausimai,,A.  SysasD.  Mudėnienė,,"State governance, regional policy and public administration"
2025-05-29,Biudžeto ir finansų komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SysasD.  Mudėnienė,,"State governance, regional policy and public administration"
2025-05-29,Biudžeto ir finansų komitetas,"Mokesčių administravimo įstatymo Nr. IX-2112 2, 32, 37-1 , 38, 39, 40-1 , 48, 61-2 , 71, 88, 100, 108, 140, 141, 148, 155 straipsnių ir priedo pakeitimo ir Įstatymo papildymo 37-2, 61-5 ir 61-6 straipsniais įstatymo projektas",IX-2112,D.  BradauskasV.  ĄžuolasE.  Putrimas,,Public finance
2025-05-29,Biudžeto ir finansų komitetas,"Administracinių nusižengimų kodekso 207, 589, 673 straipsnių ir priedo pakeitimo ir Kodekso papildymo 188-6 ir 188-7 straipsniais įstatymo projektas",XVP-367,D.  BradauskasV.  ĄžuolasE.  Putrimas,,"State governance, regional policy and public administration"
